"Data Source","World Bank","",""
"Last Updated Date","","",""
"","","",""
"","","",""
Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Afghanistan,AFG,,,,,,,,,,,1617.82647494969,1454.11078195559,1774.30874287341,1815.92819979586,1776.91820712187,1908.11478234587,1929.72389709372,2155.35306784413,2191.50435559062,2565.02208584099,2848.58606111495,2757.05258747725,2985.31914452845,3046.57993117128,3017.94254424696,2967.692067153,2958.7853992308,2952.99891598909,2902.39211285546,2927.2451435353,2769.68574507111,2144.16657002819,1981.71016810561,1983.81261992909,
Africa Eastern and Southern,AFE,3519.3175448125,3424.50025403354,3251.64780568922,3127.2935723296,3099.31243976356,3154.79090002396,3246.82586499728,3291.25656501965,3269.06995117859,3267.96274823069,3281.92231355821,3313.42192907347,3350.14106469179,3357.24486194198,3457.12022216505,3577.58589657798,3718.02241324132,3866.72395287147,3934.08423728651,3869.99812557719,3976.01098918458,4042.84247175787,4061.64163525859,4125.18256263035,4185.23841104229,4206.25295270438,4202.23641584707,4214.39708524398,4220.91250168849,4195.86541780344,3978.93139450095,4056.11301700129,4106.50190693219,4083.99300263507,4106.43414035047
Africa Western and Central,AFW,4159.7321017396,4095.47152999225,4084.13142873599,3922.47563167491,3806.75661371094,3769.0663279525,3836.37771705522,3890.14032351331,3917.45375353784,3869.05587804664,3910.06236490428,4004.95777781768,4293.82350586776,4417.36900943689,4642.02674806122,4775.60343378638,4892.69193879293,5016.77062650533,5181.8092768247,5355.44022713777,5575.8352710514,5691.70513839694,5816.27571540301,6001.87015789534,6174.70331573076,6185.24923306943,6026.16020343528,5999.74477975389,6016.31221720046,6059.60602380843,5687.84998774233,5690.96774324307,5806.17289006101,5874.95107983729,5996.39573555671
Albania,ALB,5560.85699566409,4027.90551078531,3761.15540576541,4145.91969834494,4517.79881384115,5151.39732484423,5563.79315082011,4943.00399871118,5387.56822958918,6086.00863561374,6582.01638790869,7232.99054955267,7590.49000137636,8025.28131314895,8483.29399553028,8964.31799702863,9564.02920336839,10262.9667962049,11056.3517677907,11430.6220336089,11829.0532917923,12153.1140578808,12463.5700560026,12873.4832044649,13366.5595256489,13876.81917653,14643.4892877063,15359.4611530571,16170.990493278,16761.1925261726,16457.7872245882,18212.8702466686,19388.8731331744,20481.0358398226,21641.0733223921
Algeria,DZA,11728.5457286791,11314.8647351204,11241.4154173757,10743.7063534104,10414.0348241407,10588.4433695754,10808.8788666941,10725.9673493368,11094.8875368585,11292.0372997165,11558.220469383,11742.5946761225,12213.1263531246,12835.1814413331,13226.7650481165,13738.495644436,13920.6940553701,14114.6745192683,14206.7767147039,14104.42817214,14496.4211312996,14641.9640935685,14697.5396133853,14778.1914257233,15073.7629403565,15239.5171456469,15511.6858768094,15427.6641894713,15343.4261222434,15199.1989965639,14194.1557479619,14496.8654697299,14782.2002970247,15159.3242373415,15501.9197003966
Andorra,AND,50036.3007757561,47624.9668573542,45246.53307101,42605.6595832451,42716.3656354,44375.0247238159,46386.0912022485,50032.3529125128,51092.2222352218,52921.0452609846,54809.1441679423,59109.0136806378,61188.6370851474,63656.1958332184,64353.4858113531,65114.8053663021,66390.293726491,65534.1168555171,60691.6051530637,57203.9708883731,58285.0577756981,60470.4662377044,58172.1323929474,57332.1585611366,59929.2444670501,62105.1542389675,64402.8092369468,63239.6577711911,63048.5985572834,63215.899791913,55488.4902991095,59332.2029100127,63913.3835079105,64631.2963909271,65928.3071971004
Angola,AGO,8368.72287865566,8172.50539080906,7447.49422684139,5483.27751126366,5379.47533872491,5983.18421691116,6567.67778259899,6810.21622212226,6895.02600537711,6817.05713550008,6796.40633958013,6848.68325514498,7523.81291488042,7518.88948314505,8081.75707952672,8895.37660461036,9588.82238860962,10437.5899897179,11134.7047183666,10933.2712187989,11077.1301919405,11037.6388778577,11519.9933863364,11626.1877218484,11721.664415634,11392.9059344932,10805.7122533667,10414.2358842987,10000.9443772509,9648.01103767178,8960.33797242389,8862.28133314521,8950.14259255142,8788.26106439635,8901.88736611562
Antigua and Barbuda,ATG,21074.57643609,21424.2911871461,21330.2731918527,22051.4373204261,23081.6639123529,21639.6020640854,22597.314506816,23350.3093865169,23996.1144041367,24462.2034022412,25547.6120273679,24014.7754593511,23958.1638142071,25136.001691807,26303.6179046605,27692.634871178,30827.3416754916,33245.2678606765,32756.3067839753,28405.6900929523,25826.6086383235,25023.9174488179,25592.9066121735,25206.8458285339,25557.5249124716,25734.1516444171,26627.71453894,27199.1952402262,28878.6067675471,29651.8641526705,23930.6714995115,25745.4958067746,27941.7851474762,28474.0444178181,29371.637778586
Arab World,ARB,11329.8581318075,10900.1689316444,11300.3782519781,11345.8260268161,11379.0146169525,11410.5872313485,11697.7930187765,12027.9253090499,12380.2816774561,12464.5543163804,12917.0342418817,12895.2135224156,12743.0694781131,12871.7031954571,13703.8513255052,14096.6978098463,14584.203656405,14885.4008312885,15342.6243511252,15154.7950466565,15570.139810079,15896.5397455117,16141.5972975632,16084.0540746644,16145.8898464544,16371.0585517114,16606.2469902024,16542.576023411,16723.8193619802,16782.382332277,15739.007645376,16164.6519137346,16905.4902749583,16802.3230898913,16744.2005917996
Argentina,ARG,17007.2844317191,18295.6091996812,19476.2840606477,20791.3451479504,21711.842788091,20819.4999479903,21695.5949515372,23172.1583398342,23783.1017185449,22714.5111302701,22281.3814299958,21066.4581290433,18571.7020471274,20005.1385113465,21591.449396517,23262.4075792816,24877.2493922296,26850.6645932771,27658.4853446831,25747.1976809995,28056.2570212342,29425.7593876084,28825.9666865361,29227.6601818437,28200.8152571318,28669.2061336796,27802.1057201498,28334.904184742,27367.115094108,26629.5529419501,23877.0931404855,26300.274261175,27825.0273492567,27230.3968496682,26771.9657650571
