geo,year,pisa_score
ALB,2022,367.3333333333333
ARE,2022,426.6666666666667
ARG,2022,395.0
AUS,2000,528.0
AUS,2003,524.5
AUS,2006,520.0
AUS,2009,518.6666666666666
AUS,2012,512.3333333333334
AUS,2015,502.3333333333333
AUS,2018,499.0
AUS,2022,497.3333333333333
AUT,2000,492.0
AUT,2003,498.5
AUT,2006,502.0
AUT,2012,500.6666666666667
AUT,2015,492.3333333333333
AUT,2018,491.0
AUT,2022,486.0
AZE,2022,380.6666666666667
BEL,2000,507.0
BEL,2003,518.0
BEL,2006,510.3333333333333
BEL,2009,509.3333333333333
BEL,2012,509.6666666666667
BEL,2015,502.6666666666667
BEL,2018,500.0
BEL,2022,486.3333333333333
BGR,2022,414.0
BRA,2000,396.0
BRA,2003,379.5
BRA,2006,384.3333333333333
BRA,2009,401.0
BRA,2012,399.3333333333333
BRA,2015,395.0
BRA,2018,400.3333333333333
BRA,2022,397.3333333333333
BRN,2022,439.0
CAN,2000,534.0
CAN,2003,530.0
CAN,2006,529.3333333333334
CAN,2009,526.6666666666666
CAN,2012,522.0
CAN,2015,523.6666666666666
CAN,2018,516.6666666666666
CAN,2022,506.3333333333333
CHE,2000,494.0
CHE,2003,513.0
CHE,2006,513.6666666666666
CHE,2009,517.3333333333334
CHE,2012,518.3333333333334
CHE,2015,506.3333333333333
CHE,2018,498.0
CHE,2022,498.0
CHL,2000,410.0
CHL,2006,430.3333333333333
CHL,2009,439.0
CHL,2012,436.3333333333333
CHL,2015,443.0
CHL,2018,437.6666666666667
CHL,2022,434.6666666666667
CHN,2022,535.0
COL,2015,410.3333333333333
COL,2018,405.3333333333333
COL,2022,401.0
CRI,2018,414.6666666666667
CRI,2022,403.6666666666667
CYP,2022,403.3333333333333
CZE,2000,492.0
CZE,2003,502.5
CZE,2006,502.0
CZE,2009,490.3333333333333
CZE,2012,500.0
CZE,2015,490.6666666666667
CZE,2018,495.3333333333333
CZE,2022,491.3333333333333
DEU,2000,484.0
DEU,2003,497.0
DEU,2006,505.0
DEU,2009,510.0
DEU,2012,515.3333333333334
DEU,2015,508.0
DEU,2018,500.3333333333333
DEU,2022,482.3333333333333
DNK,2000,497.0
DNK,2003,503.0
DNK,2006,501.0
DNK,2009,499.0
DNK,2012,498.0
DNK,2015,504.3333333333333
DNK,2018,501.0
DNK,2022,490.6666666666667
DOM,2022,350.0
ESP,2000,493.0
ESP,2003,483.0
ESP,2006,476.3333333333333
ESP,2009,484.0
ESP,2012,489.3333333333333
ESP,2015,491.6666666666667
ESP,2018,482.0
ESP,2022,477.3333333333333
EST,2006,515.6666666666666
EST,2009,513.6666666666666
EST,2012,526.0
EST,2015,524.3333333333334
EST,2018,525.3333333333334
EST,2022,515.6666666666666
FIN,2000,546.0
FIN,2003,543.5
FIN,2006,552.6666666666666
FIN,2009,543.6666666666666
FIN,2012,529.3333333333334
FIN,2015,522.6666666666666
FIN,2018,516.3333333333334
FIN,2022,495.0
FRA,2000,505.0
FRA,2003,503.5
FRA,2006,493.0
FRA,2009,497.0
FRA,2012,499.6666666666667
FRA,2015,495.6666666666667
FRA,2018,493.6666666666667
FRA,2022,478.3333333333333
GBR,2006,501.6666666666667
GBR,2009,500.0
GBR,2012,502.3333333333333
GBR,2015,499.6666666666667
GBR,2018,503.6666666666667
GBR,2022,494.3333333333333
GEO,2022,382.6666666666667
GRC,2000,474.0
GRC,2003,458.5
GRC,2006,464.0
GRC,2009,473.0
GRC,2012,465.6666666666667
GRC,2015,458.6666666666667
GRC,2018,453.3333333333333
GRC,2022,436.3333333333333
GTM,2022,363.6666666666667
HKG,2015,532.6666666666666
HKG,2022,520.0
HRV,2022,473.6666666666667
HUN,2000,480.0
HUN,2003,486.0
HUN,2006,492.3333333333333
HUN,2009,495.6666666666667
HUN,2012,486.3333333333333
HUN,2015,474.6666666666667
HUN,2018,479.3333333333333
HUN,2022,477.3333333333333
IDN,2000,371.0
IDN,2003,371.0
IDN,2006,392.3333333333333
IDN,2009,385.3333333333333
IDN,2012,384.3333333333333
